V,theta,strategy,model,anchor,flag,p_min,dvec_norm,dvec_cos
3,0,pc2_bonf,honest,0.4420338983050847,False,0.9374,,
3,0,pc2_bonf,honest,0.4440677966101695,False,0.8844,,
3,0,pc2_bonf,honest,0.4461016949152542,False,0.915,,
3,0,pc2_bonf,honest,0.4481355932203389,False,0.6964,,
3,0,pc2_bonf,honest,0.4501694915254237,False,0.8484,,
3,0,pc2_bonf,honest,0.4522033898305085,False,0.9324,,
3,0,pc2_bonf,honest,0.4542372881355932,False,0.7624,,
3,0,pc2_bonf,honest,0.456271186440678,False,0.52,,
3,0,pc2_bonf,honest,0.4583050847457627,False,0.3708,,
3,0,pc2_bonf,honest,0.4603389830508475,False,0.8396,,
3,0,pc2_bonf,honest,0.4623728813559322,False,0.8752,,
3,0,pc2_bonf,honest,0.4644067796610169,False,0.6998,,
3,0,pc2_bonf,honest,0.4664406779661017,False,0.4942,,
3,0,pc2_bonf,honest,0.4684745762711864,False,0.5294,,
3,0,pc2_bonf,honest,0.4705084745762712,False,0.7186,,
3,0,pc2_bonf,honest,0.4725423728813559,False,0.914,,
3,0,pc2_bonf,honest,0.4745762711864407,False,0.4644,,
3,0,pc2_bonf,honest,0.4766101694915254,False,0.9898,,
3,0,pc2_bonf,honest,0.4786440677966102,False,0.6376,,
3,0,pc2_bonf,honest,0.4806779661016949,False,0.7662,,
3,0,pc2_bonf,honest,0.4827118644067797,False,0.9824,,
3,0,pc2_bonf,honest,0.4847457627118644,False,0.901,,
3,0,pc2_bonf,honest,0.4867796610169492,False,0.5708,,
3,0,pc2_bonf,honest,0.4888135593220339,False,0.7208,,
3,0,pc2_bonf,honest,0.4908474576271187,False,0.8096,,
3,0,pc2_bonf,honest,0.4928813559322034,False,0.5456,,
3,0,pc2_bonf,honest,0.4949152542372881,False,0.813,,
3,0,pc2_bonf,honest,0.4969491525423729,False,0.5342,,
3,0,pc2_bonf,honest,0.4989830508474576,False,0.607,,
3,0,pc2_bonf,honest,0.5010169491525424,False,0.9576,,
3,0,pc2_bonf,honest,0.5030508474576272,False,0.8852,,
3,0,pc2_bonf,honest,0.5050847457627119,False,0.9048,,
3,0,pc2_bonf,honest,0.5071186440677966,False,0.9554,,
3,0,pc2_bonf,honest,0.5091525423728814,False,0.882,,
3,0,pc2_bonf,honest,0.5111864406779661,False,0.4056,,
3,0,pc2_bonf,honest,0.5132203389830509,False,0.3246,,
3,0,pc2_bonf,honest,0.5152542372881357,False,0.8966,,
3,0,pc2_bonf,honest,0.5172881355932204,False,0.8446,,
3,0,pc2_bonf,honest,0.5193220338983051,False,0.6412,,
3,0,pc2_bonf,honest,0.5213559322033898,False,0.9496,,
3,0,pc2_bonf,honest,0.5233898305084747,False,0.9356,,
3,0,pc2_bonf,honest,0.5254237288135594,False,0.7302,,
3,0,pc2_bonf,honest,0.5274576271186441,False,0.39,,
3,0,pc2_bonf,honest,0.5294915254237289,False,0.9048,,
3,0,pc2_bonf,honest,0.5315254237288136,False,0.7654,,
3,0,pc2_bonf,honest,0.5335593220338983,False,0.7404,,
3,0,pc2_bonf,honest,0.535593220338983,False,0.9264,,
3,0,pc2_bonf,honest,0.5376271186440679,False,0.882,,
3,0,pc2_bonf,honest,0.5396610169491526,False,0.929,,
3,0,pc2_bonf,honest,0.5416949152542373,False,0.8746,,
3,0,pc2_bonf,honest,0.5437288135593221,False,0.7656,,
3,0,pc2_bonf,honest,0.5457627118644068,False,0.4882,,
3,0,pc2_bonf,honest,0.5477966101694915,False,0.943,,
3,0,pc2_bonf,honest,0.5498305084745763,False,0.913,,
3,0,pc2_bonf,honest,0.5518644067796611,False,0.91,,
3,0,pc2_bonf,honest,0.5538983050847458,False,0.8758,,
3,0,pc2_bonf,honest,0.5559322033898305,False,0.8522,,
3,0,pc2_bonf,honest,0.5579661016949153,False,0.888,,
3,0,pc2_bonf,honest,0.56,False,0.96,,
3,0,axes_bonf,gated,0.44,False,0.5222,,
3,0,axes_bonf,gated,0.4420338983050847,False,0.8632,,
3,0,axes_bonf,gated,0.4440677966101695,False,0.514,,
3,0,axes_bonf,gated,0.4461016949152542,False,0.4936,,
3,0,axes_bonf,gated,0.4481355932203389,False,0.7584,,
3,0,axes_bonf,gated,0.4501694915254237,False,0.612,,
3,0,axes_bonf,gated,0.4522033898305085,False,0.6448,,
3,0,axes_bonf,gated,0.4542372881355932,False,0.772,,
3,0,axes_bonf,gated,0.456271186440678,False,0.861,,
3,0,axes_bonf,gated,0.4583050847457627,False,0.7992,,
3,0,axes_bonf,gated,0.4603389830508475,False,0.5712,,
3,0,axes_bonf,gated,0.4623728813559322,False,0.869,,
3,0,axes_bonf,gated,0.4644067796610169,False,0.1786,,
3,0,axes_bonf,gated,0.4664406779661017,False,0.8522,,
3,0,axes_bonf,gated,0.4684745762711864,False,0.9046,,
3,0,axes_bonf,gated,0.4705084745762712,False,0.866,,
3,0,axes_bonf,gated,0.4725423728813559,False,0.7052,,
3,0,axes_bonf,gated,0.4745762711864407,False,0.3038,,
3,0,axes_bonf,gated,0.4766101694915254,False,0.4584,,
3,0,axes_bonf,gated,0.4786440677966102,False,0.7968,,
3,0,axes_bonf,gated,0.4806779661016949,False,0.3214,,
3,0,axes_bonf,gated,0.4827118644067797,False,0.8076,,
3,0,axes_bonf,gated,0.4847457627118644,False,0.3974,,
3,0,axes_bonf,gated,0.4867796610169492,False,0.6602,,
3,0,axes_bonf,gated,0.4888135593220339,False,0.6104,,
3,0,axes_bonf,gated,0.4908474576271187,False,0.914,,
3,0,axes_bonf,gated,0.4928813559322034,False,0.4014,,
3,0,axes_bonf,gated,0.4949152542372881,False,0.5414,,
3,0,axes_bonf,gated,0.4969491525423729,False,0.168,,
3,0,axes_bonf,gated,0.4989830508474576,False,0.8098,,
3,0,axes_bonf,gated,0.5010169491525424,False,0.5226,,
3,0,axes_bonf,gated,0.5030508474576272,False,0.7908,,
3,0,axes_bonf,gated,0.5050847457627119,False,0.1548,,
3,0,axes_bonf,gated,0.5071186440677966,False,0.7786,,
3,0,axes_bonf,gated,0.5091525423728814,False,0.735,,
3,0,axes_bonf,gated,0.5111864406779661,False,0.655,,
3,0,axes_bonf,gated,0.5132203389830509,False,0.6974,,
3,0,axes_bonf,gated,0.5152542372881357,False,0.3026,,
3,0,axes_bonf,gated,0.5172881355932204,False,0.2338,,
3,0,axes_bonf,gated,0.5193220338983051,False,0.6082,,
3,0,axes_bonf,gated,0.5213559322033898,False,0.607,,
3,0,axes_bonf,gated,0.5233898305084747,False,0.7444,,
3,0,axes_bonf,gated,0.5254237288135594,False,0.913,,
3,0,axes_bonf,gated,0.5274576271186441,False,0.7878,,
3,0,axes_bonf,gated,0.5294915254237289,False,0.2334,,
3,0,axes_bonf,gated,0.5315254237288136,False,0.8144,,
3,0,axes_bonf,gated,0.5335593220338983,False,0.9128,,
3,0,axes_bonf,gated,0.535593220338983,False,0.899,,
3,0,axes_bonf,gated,0.5376271186440679,False,0.8172,,
3,0,axes_bonf,gated,0.5396610169491526,False,0.5116,,
3,0,axes_bonf,gated,0.5416949152542373,False,0.6738,,
3,0,axes_bonf,gated,0.5437288135593221,False,0.9208,,
3,0,axes_bonf,gated,0.5457627118644068,False,0.6034,,
3,0,axes_bonf,gated,0.5477966101694915,False,0.766,,
3,0,axes_bonf,gated,0.5498305084745763,False,0.5956,,
3,0,axes_bonf,gated,0.5518644067796611,False,0.784,,
3,0,axes_bonf,gated,0.5538983050847458,False,0.2194,,
3,0,axes_bonf,gated,0.5559322033898305,False,0.943,,
3,0,axes_bonf,gated,0.5579661016949153,False,0.5794,,
3,0,axes_bonf,gated,0.56,False,0.2488,,
3,0,axes_bonf,honest,0.44,False,0.801,,
3,0,axes_bonf,honest,0.4420338983050847,False,0.465,,
3,0,axes_bonf,honest,0.4440677966101695,False,0.9128,,
3,0,axes_bonf,honest,0.4461016949152542,False,0.449,,
3,0,axes_bonf,honest,0.4481355932203389,False,0.7758,,
3,0,axes_bonf,honest,0.4501694915254237,False,0.6126,,
3,0,axes_bonf,honest,0.4522033898305085,False,0.7836,,
3,0,axes_bonf,honest,0.4542372881355932,False,0.7758,,
3,0,axes_bonf,honest,0.456271186440678,False,0.7824,,
3,0,axes_bonf,honest,0.4583050847457627,False,0.8558,,
3,0,axes_bonf,honest,0.4603389830508475,False,0.4788,,
3,0,axes_bonf,honest,0.4623728813559322,False,0.6186,,
3,0,axes_bonf,honest,0.4644067796610169,False,0.9018,,
3,0,axes_bonf,honest,0.4664406779661017,False,0.695,,
3,0,axes_bonf,honest,0.4684745762711864,False,0.596,,
3,0,axes_bonf,honest,0.4705084745762712,False,0.8794,,
3,0,axes_bonf,honest,0.4725423728813559,False,0.7136,,
3,0,axes_bonf,honest,0.4745762711864407,False,0.8178,,
3,0,axes_bonf,honest,0.4766101694915254,False,0.867,,
3,0,axes_bonf,honest,0.4786440677966102,False,0.4612,,
3,0,axes_bonf,honest,0.4806779661016949,False,0.5098,,
3,0,axes_bonf,honest,0.4827118644067797,False,0.8848,,
3,0,axes_bonf,honest,0.4847457627118644,False,0.6262,,
3,0,axes_bonf,honest,0.4867796610169492,False,0.8278,,
3,0,axes_bonf,honest,0.4888135593220339,False,0.5224,,
3,0,axes_bonf,honest,0.4908474576271187,False,0.5996,,
3,0,axes_bonf,honest,0.4928813559322034,False,0.9128,,
3,0,axes_bonf,honest,0.4949152542372881,False,0.7584,,
3,0,axes_bonf,honest,0.4969491525423729,False,0.6774,,
3,0,axes_bonf,honest,0.4989830508474576,False,0.7704,,
3,0,axes_bonf,honest,0.5010169491525424,False,0.2928,,
3,0,axes_bonf,honest,0.5030508474576272,False,0.7246,,
3,0,axes_bonf,honest,0.5050847457627119,False,0.861,,
3,0,axes_bonf,honest,0.5071186440677966,False,0.9472,,
3,0,axes_bonf,honest,0.5091525423728814,False,0.7542,,
3,0,axes_bonf,honest,0.5111864406779661,False,0.8352,,
3,0,axes_bonf,honest,0.5132203389830509,False,0.8962,,
3,0,axes_bonf,honest,0.5152542372881357,False,0.937,,
3,0,axes_bonf,honest,0.5172881355932204,False,0.5018,,
3,0,axes_bonf,honest,0.5193220338983051,False,0.8802,,
3,0,axes_bonf,honest,0.5213559322033898,False,0.9046,,
3,0,axes_bonf,honest,0.5233898305084747,False,0.9158,,
3,0,axes_bonf,honest,0.5254237288135594,False,0.8524,,
3,0,axes_bonf,honest,0.5274576271186441,False,0.562,,
3,0,axes_bonf,honest,0.5294915254237289,False,0.8644,,
3,0,axes_bonf,honest,0.5315254237288136,False,0.2952,,
3,0,axes_bonf,honest,0.5335593220338983,False,0.4498,,
3,0,axes_bonf,honest,0.535593220338983,False,0.7052,,
3,0,axes_bonf,honest,0.5376271186440679,False,0.6202,,
3,0,axes_bonf,honest,0.5396610169491526,False,0.872,,
3,0,axes_bonf,honest,0.5416949152542373,False,0.8342,,
3,0,axes_bonf,honest,0.5437288135593221,False,0.6828,,
3,0,axes_bonf,honest,0.5457627118644068,False,0.5114,,
3,0,axes_bonf,honest,0.5477966101694915,False,0.8496,,
3,0,axes_bonf,honest,0.5498305084745763,False,0.374,,
3,0,axes_bonf,honest,0.5518644067796611,False,0.2552,,
3,0,axes_bonf,honest,0.5538983050847458,False,0.4796,,
3,0,axes_bonf,honest,0.5559322033898305,False,0.9704,,
3,0,axes_bonf,honest,0.5579661016949153,False,0.8842,,
3,0,axes_bonf,honest,0.56,False,0.834,,
3,0,rand8_bonf,gated,0.44,False,0.823,,
3,0,rand8_bonf,gated,0.4420338983050847,False,0.6778,,
3,0,rand8_bonf,gated,0.4440677966101695,False,0.6206,,
3,0,rand8_bonf,gated,0.4461016949152542,False,0.7008,,
3,0,rand8_bonf,gated,0.4481355932203389,False,0.634,,
3,0,rand8_bonf,gated,0.4501694915254237,False,0.8798,,
3,0,rand8_bonf,gated,0.4522033898305085,False,0.6804,,
3,0,rand8_bonf,gated,0.4542372881355932,False,0.4566,,
3,0,rand8_bonf,gated,0.456271186440678,False,0.4084,,
3,0,rand8_bonf,gated,0.4583050847457627,False,0.5068,,
3,0,rand8_bonf,gated,0.4603389830508475,False,0.4712,,
3,0,rand8_bonf,gated,0.4623728813559322,False,0.1058,,
3,0,rand8_bonf,gated,0.4644067796610169,False,0.5058,,
3,0,rand8_bonf,gated,0.4664406779661017,False,0.6774,,
3,0,rand8_bonf,gated,0.4684745762711864,False,0.1522,,
3,0,rand8_bonf,gated,0.4705084745762712,False,0.5838,,
