condition,rep,arm,B,lrt_med,lrt_q90,lrt_q95,lrt_q99,dip_med,dip_q95,resid_kurt,inlier_kurt
tau_d100,0,emp_inlier,750,67.60061578540535,86.31613749059052,91.9961156086756,104.18785819466011,0.014471443818116655,0.020578413540084967,2.8599654560184624,2.032728903163434
tau_d100,0,param,1500,0.7002859537069526,3.919385960436376,5.226468167389975,8.565400469809392,0.008627671950190825,0.011865024907429342,2.989217736161105,1.9770565844847419
tau_d100,0,emp_all,750,0.0950645966358934,4.0885438809720664,5.779651999634916,12.701302077846005,0.009632141246066244,0.013114891120785782,3.2228354559112438,2.0363979075057657
trend_x100,0,emp_inlier,750,57.939689977682065,74.70131332202145,79.5417583972838,89.25233710867342,0.010845854371051528,0.01525067763237536,3.05188519873023,2.0206856349743485
trend_x100,0,param,1500,0.6160253683735846,3.8173105504210096,5.092469664543227,8.648867517873393,0.008703717341934196,0.012015619092155727,2.795091590531701,1.9812242769765844
trend_x100,0,emp_all,750,1.2237683071739411,5.481806346935582,7.186886251764826,11.964156665112741,0.009627073979202759,0.013473909104002105,2.919291221312305,2.08788847587214
trend_zero,0,emp_inlier,750,51.12463280010752,66.02770620512239,70.86523029412527,82.34920441086118,0.010789312334950332,0.014606149607505404,2.985637192301569,2.0621335211046237
trend_zero,0,param,1500,0.6503493836848975,3.830670821919563,5.579299704488357,7.946772135297618,0.008643554461870304,0.012036646600452911,2.6508937834323207,2.0270313921819216
trend_zero,0,emp_all,750,2.1170374212740626,6.544621786715653,8.462116713787319,13.02842093489989,0.009526085230020135,0.013687045332530028,2.8077682434430864,1.9926959926565917
clean_gauss_untrimmed,0,none,20000,0.7021858638086087,4.040631562093452,5.543455779322765,8.905220181190153,0.008664947821875067,0.011932137315589487,,
