n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,tau_obs,anchor,dist
3,0.0002,True,0.0093547427499743,1.2851957748310752,0.4094906255140664,1,0.2446150567942965,0.189,True,False,gated,0.005,0.3132217573221758,0.1867782426778242
3,0.0002,True,0.1265850486888213,0.9505197677787464,0.3411054950795787,0,0.2469066397737316,0.17,True,False,gated,0.005,0.3172384937238494,0.1827615062761505
3,0.0002,True,0.1237679421690074,0.999887388942617,0.449503306235138,0,0.247521946700177,0.182,True,False,gated,0.005,0.321255230125523,0.1787447698744769
3,0.0002,True,0.1232058033244859,0.9992347011710456,0.3395557676964757,1,0.2463173173929664,0.207,True,False,gated,0.005,0.3252719665271967,0.1747280334728033
3,0.0002,True,0.125052723821986,0.9699244253297212,0.3184700194896747,0,0.246344415111912,0.206,True,False,gated,0.005,0.3292887029288703,0.1707112970711296
3,0.0002,True,0.1246433242898472,0.979154722293144,0.4873965916749896,0,0.2466884238715461,0.195,True,False,gated,0.005,0.3333054393305439,0.166694560669456
3,0.0002,True,0.1250058857352177,0.967704069912451,0.2582311339923044,0,0.2459745901251664,0.228,True,False,gated,0.005,0.3373221757322176,0.1626778242677823
3,0.0002,True,0.1274268823115694,0.9634188792027696,0.280935028971244,1,0.2501923464494483,0.226,True,False,gated,0.005,0.3413389121338912,0.1586610878661087
3,0.0002,True,0.1249314950317834,0.9713831172978274,0.4350721216620921,0,0.2462878401254066,0.218,True,False,gated,0.005,0.3453556485355649,0.1546443514644351
3,0.0002,True,0.1273659584814919,0.9639405561776628,0.4416686140103862,0,0.2501391713392063,0.228,True,False,gated,0.005,0.3493723849372385,0.1506276150627614
3,0.0002,True,0.1271253906972511,0.9548077996301588,0.3869352401913843,1,0.2485057052669726,0.23,True,False,gated,0.005,0.3533891213389121,0.1466108786610878
3,0.0002,True,0.1273891385823745,0.9500798250304786,0.3787236932008266,0,0.2484189890784504,0.256,True,False,gated,0.005,0.3574058577405858,0.1425941422594142
3,0.0002,True,0.1243023994502083,0.990414152891508,0.4008436098037762,0,0.2474132551050588,0.226,True,False,gated,0.005,0.3614225941422594,0.1385774058577405
3,0.0002,True,0.2488913242873857,0.7093866530711335,0.263,1,0.2488913242873857,0.274,True,False,gated,0.005,0.365439330543933,0.1345606694560669
3,0.0002,True,0.1266423260166859,0.9601182613610312,0.5139183214195209,0,0.2482339358875035,0.25,True,False,gated,0.005,0.3694560669456067,0.1305439330543932
3,0.0002,True,0.2497761949005596,0.7032621161381719,0.275,1,0.2497761949005596,0.27,True,False,gated,0.005,0.3734728033472804,0.1265271966527196
3,0.0002,True,0.2496787647067914,0.6959039833217351,0.2849999999999964,1,0.2496787647067914,0.296,True,False,gated,0.005,0.377489539748954,0.122510460251046
3,0.0002,True,0.2494106142643335,0.6962553846978677,0.271,1,0.2494106142643335,0.286,True,False,gated,0.005,0.3815062761506276,0.1184937238493723
3,0.0002,True,0.2506852737568344,0.709434358106824,0.275,1,0.2506852737568344,0.307,True,False,gated,0.005,0.3855230125523013,0.1144769874476986
3,0.0002,True,0.2506901832858288,0.6824316609364909,0.2959999999999997,1,0.2506901832858288,0.301,True,False,gated,0.005,0.3895397489539749,0.110460251046025
3,0.0002,True,0.2502819948441495,0.6863779701021633,0.2959999999995795,1,0.2502819948441495,0.304,True,False,gated,0.005,0.3935564853556486,0.1064435146443514
3,0.0002,True,0.2511318120335534,0.6825176220865597,0.293,1,0.2511318120335534,0.306,True,False,gated,0.005,0.3975732217573222,0.1024267782426777
3,0.0002,True,0.2517820260482833,0.6898060143888114,0.2979999999999984,1,0.2517820260482833,0.321,True,False,gated,0.005,0.4015899581589958,0.0984100418410041
3,0.0002,True,0.2501462467006267,0.6878948323511042,0.3220424782250388,1,0.2791452700039694,0.322,True,False,gated,0.005,0.4056066945606695,0.0943933054393305
3,0.0002,True,0.2488799051590602,0.7005020645592571,0.3039999999999952,1,0.2810543871126292,0.344,True,False,gated,0.005,0.4096234309623431,0.0903765690376568
3,0.0002,True,0.2509629262523764,0.6851126388932646,0.0929651134985711,1,0.2815862761876845,0.347,True,False,gated,0.005,0.4136401673640167,0.0863598326359832
3,0.0002,True,0.2497464953245167,0.699246733750701,0.2404140660342287,1,0.2822347517948969,0.345,True,False,gated,0.005,0.4176569037656904,0.0823430962343095
3,0.0002,True,0.2512667539659816,0.7039667138586191,0.341,1,0.281463833464334,0.349,True,False,gated,0.005,0.4216736401673641,0.0783263598326359
3,0.0002,True,0.2529751651999758,0.6938348762383124,0.2232726216792186,1,0.2816166442150269,0.357,True,False,gated,0.005,0.4256903765690377,0.0743096234309623
3,0.0002,True,0.2504206608310908,0.6847284312005105,0.3569999999999999,1,0.2825495395379394,0.351,True,False,gated,0.005,0.4297071129707113,0.0702928870292886
3,0.0002,True,0.252870718948674,0.6891021620490253,0.349,1,0.2815116690845589,0.346,True,False,gated,0.005,0.433723849372385,0.066276150627615
3,0.0002,True,0.266893136172364,0.0606015188880637,0.2565,1,0.2830672656052687,0.382,True,False,gated,0.005,0.4377405857740586,0.0622594142259413
3,0.0002,True,0.268801969941559,0.0558422633671925,0.289499999999915,1,0.2838124803407116,0.376,True,False,gated,0.005,0.4417573221757322,0.0582426778242677
3,0.0002,True,0.2679166460007558,0.0606374580629089,0.29,1,0.2841624303870425,0.4,True,False,gated,0.005,0.4457740585774059,0.054225941422594
3,0.0002,True,0.2667518523627618,0.0610953066317436,0.3214999999999999,1,0.2830491385775114,0.407,True,False,gated,0.005,0.4497907949790795,0.0502092050209204
3,0.0002,True,0.269514345618247,0.0532607539871264,0.3279999999999543,1,0.2838688828762751,0.423,True,False,gated,0.005,0.4538075313807532,0.0461924686192468
3,0.0002,True,0.2847966118940127,0.0640213591348236,0.234,1,0.2847966118940127,0.413,True,False,gated,0.005,0.4578242677824268,0.0421757322175731
3,0.0002,True,0.2849033164403661,0.0646126896597714,0.303,1,0.2849033164403661,0.425,True,False,gated,0.005,0.4618410041841004,0.0381589958158995
3,0.0002,True,0.2838027599585289,0.0637791948470396,0.307,1,0.2838027599585289,0.447,True,False,gated,0.005,0.4658577405857741,0.0341422594142258
3,0.0002,True,0.2837664335045257,0.060818861912158,0.302,1,0.2944136595565295,0.441,True,False,gated,0.005,0.4698744769874478,0.0301255230125522
3,0.0002,True,0.2847782990152062,0.0678082295392048,0.367,1,0.2940949458035258,0.439,True,False,gated,0.005,0.4738912133891214,0.0261087866108786
3,0.0002,True,0.2845816327446585,0.0636940074941966,0.356,1,0.2939475649757653,0.443,True,False,gated,0.005,0.477907949790795,0.0220920502092049
3,0.0002,True,0.284829873258768,0.0657039787711406,0.385,1,0.2943086877305282,0.457,True,False,gated,0.005,0.4819246861924686,0.0180753138075313
3,0.0002,True,0.284524900348726,0.0643978792042349,0.394,1,0.2950950299907619,0.464,True,False,gated,0.005,0.4859414225941423,0.0140585774058576
3,0.0002,True,0.2855212962220542,0.0681143664202837,0.44,1,0.2951047277255126,0.464,True,False,gated,0.005,0.4899581589958159,0.010041841004184
3,0.0002,True,0.284767237899098,0.0664247332667066,0.49,1,0.2947438319920216,0.488,True,False,gated,0.005,0.4939748953974895,0.0060251046025104
3,0.0002,True,0.2858751242933446,0.0690840295466221,0.478,1,0.2949457239757313,0.495,True,False,gated,0.005,0.4979916317991632,0.0020083682008367
3,0.0002,True,0.2845516806755704,0.0643603636752059,0.534,0,0.2956989319763696,0.495,True,False,gated,0.005,0.5020083682008368,0.0020083682008368
3,0.0002,True,0.2848454699163112,0.0670299734159254,0.526,0,0.2951363673859637,0.484,True,False,gated,0.005,0.5060251046025105,0.0060251046025104
3,0.0002,True,0.285951855718124,0.0639787920515905,0.549,0,0.2949224818598846,0.49,True,False,gated,0.005,0.5100418410041841,0.0100418410041841
3,0.0002,True,0.2848284726728974,0.0651187451574676,0.596,0,0.2939628269872621,0.491,True,False,gated,0.005,0.5140585774058578,0.0140585774058578
3,0.0002,True,0.2839189840781426,0.0635492159757568,0.645,0,0.2945334526059319,0.4529999999999999,True,False,gated,0.005,0.5180753138075314,0.0180753138075313
3,0.0002,True,0.2841680915554538,0.0659861737401271,0.626,0,0.2951508159467223,0.477,True,False,gated,0.005,0.5220920502092051,0.0220920502092051
3,0.0002,True,0.2845456804331776,0.0633002180574686,0.666,0,0.294218072083223,0.4559999999999999,True,False,gated,0.005,0.5261087866108787,0.0261087866108786
3,0.0002,True,0.2841207403178275,0.0640525769723287,0.676,0,0.2943146362838365,0.4519999999999999,True,False,gated,0.005,0.5301255230125523,0.0301255230125523
