D,strategy,model,anchor,dist,flag,p_min,pi_true_max,n_tests
2,iso_total,honest,0.3621212121212121,0.1378787878787878,False,0.9754,0.176,3
2,iso_total,honest,0.3651515151515151,0.1348484848484848,False,0.7576,0.163,3
2,iso_total,honest,0.3681818181818181,0.1318181818181818,False,0.9738,0.19,2
2,iso_total,honest,0.3712121212121212,0.1287878787878787,False,0.987,0.171,2
2,iso_total,honest,0.3742424242424242,0.1257575757575758,False,0.9354,0.2,3
2,iso_total,honest,0.3772727272727272,0.1227272727272727,False,0.993,0.183,3
2,iso_total,honest,0.3803030303030303,0.1196969696969696,False,0.9574,0.222,3
2,iso_total,honest,0.3833333333333333,0.1166666666666667,False,0.986,0.201,3
2,iso_total,honest,0.3863636363636363,0.1136363636363636,False,0.8524,0.242,3
2,iso_total,honest,0.3893939393939394,0.1106060606060606,False,0.6474,0.218,3
2,iso_total,honest,0.3924242424242424,0.1075757575757576,False,0.2196,0.228,3
2,iso_total,honest,0.3954545454545454,0.1045454545454545,False,0.8232,0.228,3
2,iso_total,honest,0.3984848484848484,0.1015151515151515,False,0.6476,0.255,3
2,iso_total,honest,0.4015151515151515,0.0984848484848485,False,0.7456,0.265,2
2,iso_total,honest,0.4045454545454545,0.0954545454545454,False,0.784,0.274,3
2,iso_total,honest,0.4075757575757576,0.0924242424242424,False,0.8964,0.251,3
2,iso_total,honest,0.4106060606060606,0.0893939393939394,False,0.987,0.268,3
2,iso_total,honest,0.4136363636363636,0.0863636363636363,False,0.9892,0.251,2
2,iso_total,honest,0.4166666666666666,0.0833333333333333,False,0.8872,0.277,3
2,iso_total,honest,0.4196969696969697,0.0803030303030303,False,0.9968,0.262,3
2,iso_total,honest,0.4227272727272727,0.0772727272727272,False,0.6326,0.301,3
2,iso_total,honest,0.4257575757575758,0.0742424242424242,False,0.9766,0.299,3
2,iso_total,honest,0.4287878787878788,0.0712121212121212,False,0.993,0.286,3
2,iso_total,honest,0.4318181818181818,0.0681818181818181,False,0.9966,0.342,3
2,iso_total,honest,0.4348484848484848,0.0651515151515151,False,0.9738,0.305,3
2,iso_total,honest,0.4378787878787878,0.0621212121212121,False,0.868,0.301,3
2,iso_total,honest,0.4409090909090909,0.059090909090909,False,0.883,0.333,3
2,iso_total,honest,0.4439393939393939,0.056060606060606,False,0.9834,0.371,3
2,iso_total,honest,0.4469696969696969,0.053030303030303,False,0.7666,0.359,3
2,iso_total,honest,0.45,0.0499999999999999,False,0.971,0.367,3
2,iso_total,honest,0.453030303030303,0.0469696969696969,False,0.6644,0.385,3
2,iso_total,honest,0.456060606060606,0.0439393939393939,False,0.634,0.402,3
2,iso_total,honest,0.4590909090909091,0.0409090909090908,False,0.9208,0.377,3
2,iso_total,honest,0.4621212121212121,0.0378787878787879,False,0.9128,0.382,3
2,iso_total,honest,0.4651515151515151,0.0348484848484848,False,0.982,0.407,3
2,iso_total,honest,0.4681818181818181,0.0318181818181818,False,0.9948,0.42,3
2,iso_total,honest,0.4712121212121212,0.0287878787878788,False,0.938,0.411,3
2,iso_total,honest,0.4742424242424242,0.0257575757575757,False,0.8142,0.421,3
2,iso_total,honest,0.4772727272727273,0.0227272727272727,False,0.51,0.444,3
2,iso_total,honest,0.4803030303030303,0.0196969696969697,False,0.2506,0.458,3
2,iso_total,honest,0.4833333333333333,0.0166666666666666,False,0.9226,0.435,3
2,iso_total,honest,0.4863636363636363,0.0136363636363636,False,0.7178,0.485,3
2,iso_total,honest,0.4893939393939394,0.0106060606060606,False,0.9742,0.466,3
2,iso_total,honest,0.4924242424242424,0.0075757575757575,False,0.8766,0.492,3
2,iso_total,honest,0.4954545454545455,0.0045454545454545,False,0.9998,0.494,3
2,iso_total,honest,0.4984848484848485,0.0015151515151515,False,0.634,0.494,3
2,iso_total,honest,0.5015151515151515,0.0015151515151514,False,0.9902,0.496,3
2,iso_total,honest,0.5045454545454545,0.0045454545454545,False,0.982,0.498,3
2,iso_total,honest,0.5075757575757576,0.0075757575757575,False,0.9918,0.4549999999999999,2
2,iso_total,honest,0.5106060606060606,0.0106060606060606,False,0.775,0.481,3
2,iso_total,honest,0.5136363636363637,0.0136363636363636,False,0.9022,0.4449999999999999,3
2,iso_total,honest,0.5166666666666666,0.0166666666666666,False,0.964,0.4409999999999999,3
2,iso_total,honest,0.5196969696969698,0.0196969696969697,False,0.8952,0.4409999999999999,3
2,iso_total,honest,0.5227272727272727,0.0227272727272727,False,0.8004,0.437,3
2,iso_total,honest,0.5257575757575758,0.0257575757575757,False,0.8652,0.418,3
2,iso_total,honest,0.5287878787878788,0.0287878787878788,False,0.8502,0.421,3
2,iso_total,honest,0.5318181818181819,0.0318181818181818,False,0.6396,0.379,3
2,iso_total,honest,0.5348484848484849,0.0348484848484849,False,0.9162,0.399,3
2,iso_total,honest,0.5378787878787878,0.0378787878787878,False,0.9628,0.418,3
2,iso_total,honest,0.5409090909090909,0.0409090909090908,False,0.9816,0.396,3
2,iso_total,honest,0.543939393939394,0.0439393939393939,False,0.9226,0.377,3
2,iso_total,honest,0.546969696969697,0.0469696969696969,False,0.9974,0.401,3
2,iso_total,honest,0.55,0.05,False,0.9472,0.357,3
2,iso_total,honest,0.553030303030303,0.0530303030303029,False,0.7346,0.352,2
2,iso_total,honest,0.556060606060606,0.056060606060606,False,0.9696,0.353,3
2,iso_total,honest,0.5590909090909091,0.059090909090909,False,0.9754,0.3309999999999999,3
