anchor,region,p_min,sstar,k_true,k_hat,n_scales_signal,gap1,gap2,beta_loc,levels
0.2132885906040268,0,0.0002,0.09,2,2,1,0.2226306877863886,,0.124061590363821,-0.2193;0.0034
0.219731543624161,0,0.0002,0.09,2,2,1,0.2223503797459194,,0.0795333802916002,-0.2098;0.0125
0.2261744966442953,0,0.0002,0.09,2,2,1,0.2233230612667022,,0.1773167671949371,-0.2319;-0.0086
0.2326174496644295,0,0.0002,0.09,2,2,1,0.2238996821149091,,0.1678024126612187,-0.2318;-0.0079
0.2390604026845637,0,0.0002,0.09,2,2,1,0.223813309651263,,0.1479278330064782,-0.2264;-0.0026
0.2455033557046979,0,0.0002,0.09,2,2,1,0.2242012279341897,,0.1785470317390982,-0.2362;-0.0120
0.2519463087248322,0,0.0002,0.09,2,2,1,0.2256427995348062,,0.1406930994273697,-0.2278;-0.0022
0.2583892617449664,0,0.0002,0.09,2,2,1,0.225581013619613,,0.1500166780380725,-0.2306;-0.0050
0.2648322147651006,0,0.0002,0.09,2,2,1,0.2275279701509809,,0.12185098704275,-0.2255;0.0020
0.2712751677852349,0,0.0002,0.09,2,2,1,0.2266435305956163,,0.0962523074496593,-0.2187;0.0079
0.2777181208053691,0,0.0002,0.09,2,2,1,0.2306232124297809,,0.0878375321578821,-0.2175;0.0131
0.2841610738255034,0,0.0002,0.09,2,2,1,0.228851242169917,,-0.0733418829052253,-0.1707;0.0582
0.2906040268456376,0,0.0002,0.09,2,2,1,0.2278686091625236,,-0.4275669950657413,-0.0672;0.1606
0.2970469798657718,0,0.0002,0.09,2,2,1,0.227155451320766,,-1.015609658708886,0.1106;0.3377
0.303489932885906,0,0.0002,0.09,2,2,1,0.2275180607297424,,-1.3103102730075813,0.2079;0.4354
0.3099328859060403,0,0.0002,0.02,2,2,1,0.2434555759717354,,-2.2623227040778224,0.5033;0.7468
0.3163758389261745,0,0.0002,0.02,2,2,1,0.2412584655619637,,-3.120836358983365,0.7905;1.0317
0.3228187919463087,0,0.0002,0.02,2,2,1,0.2462668003263878,,-4.345778195897106,1.2035;1.4497
0.3292617449664429,0,0.0002,0.02,2,2,1,0.2477690274406104,,-4.5852877048477625,1.3093;1.5570
0.3357046979865772,1,0.0002,0.02,2,2,1,0.2457283274127815,,-4.828392795713487,1.4222;1.6680
0.3421476510067114,1,0.0002,0.02,2,2,1,0.2448342045112014,,-4.427661033428752,1.3179;1.5627
0.3485906040268456,1,0.0002,0.02,2,2,1,0.2463007028247496,,-3.6641639834740167,1.0804;1.3267
0.3550335570469798,1,0.0002,0.02,2,2,1,0.2441009774071005,,-2.7862631314473445,0.7936;1.0377
0.3614765100671141,1,0.0002,0.02,2,2,1,0.2422122106282508,,-1.8494270488713236,0.4730;0.7152
0.3679194630872483,1,0.0002,0.09,2,2,1,0.230341113239394,,-0.8945808433752978,0.1413;0.3716
0.3743624161073826,1,0.0002,0.09,2,2,1,0.2291946981918784,,-0.3609123542968027,-0.0534;0.1758
0.3808053691275168,1,0.0002,0.09,2,2,1,0.2280753440545938,,-0.1281102160839627,-0.1369;0.0911
0.387248322147651,1,0.0002,0.09,2,2,1,0.2293297061997544,,0.0911288511331864,-0.2222;0.0071
0.3936912751677852,1,0.0002,0.09,2,2,1,0.2288553093060544,,0.0209238001351818,-0.1945;0.0343
0.4001342281879195,1,0.0002,0.09,2,2,1,0.2308954220545867,,0.1471176606775816,-0.2455;-0.0146
0.4065771812080537,1,0.0002,0.09,2,2,1,0.2064620316422907,,0.1817860034995521,-0.2599;-0.0535
0.4130201342281879,1,0.0002,0.09,2,2,1,0.1798414536067184,,0.1351092178701816,-0.2401;-0.0603
0.4194630872483221,1,0.0002,0.09,2,2,1,0.2222200042681995,,0.129565296405893,-0.2378;-0.0156
0.4259060402684564,1,0.0002,0.09,2,2,1,0.2273587668984253,,0.1536344415265769,-0.2475;-0.0202
0.4323489932885906,1,0.0002,0.09,2,2,1,0.1488139698206202,,0.1468194722443028,-0.2462;-0.0974
0.4387919463087248,1,0.0002,0.09,2,2,1,0.1611370037651038,,0.1867930694968226,-0.2632;-0.1021
0.445234899328859,1,0.0002,0.09,2,2,1,0.1438588201933387,,0.0935164974890902,-0.2218;-0.0780
0.4516778523489932,1,0.0002,0.09,2,2,1,0.1289983922465435,,0.183956188883296,-0.2637;-0.1347
0.4581208053691275,1,0.0002,0.4,3,4,1,0.4413269205474877,0.1418086099233007,0.1730120416932493,-0.6946;-0.2533;-0.1115;-0.0565
0.4645637583892617,1,0.0002,0.4,3,4,1,0.0302710998719983,0.4237483520046644,0.1475377800094452,-0.6975;-0.6672;-0.2435;-0.0603
