pi_top,surface,detector,rule,fire,abstain
0.35,resonant_1.0L,dip|LRT,2-rung,0.34545454545454546,0.35909090909090907
0.35,resonant_1.0L,dip|LRT,3-rung,0.07727272727272727,0.00909090909090909
0.35,resonant_1.0L,-,alpha,0.7732735533305353,0.00909090909090909
0.35,resonant_1.5L,dip,naive,0.0,0.0
0.35,resonant_1.5L,dip,2-rung,0.0,0.0
0.35,resonant_1.5L,dip,3-rung,0.0,0.0
0.35,resonant_1.5L,LRT,naive,0.8090909090909091,0.0
0.35,resonant_1.5L,LRT,2-rung,0.2409090909090909,0.1590909090909091
0.35,resonant_1.5L,LRT,3-rung,0.1318181818181818,0.05454545454545454
0.35,resonant_1.5L,dip|LRT,naive,0.8090909090909091,0.0
0.35,resonant_1.5L,dip|LRT,2-rung,0.2409090909090909,0.1590909090909091
0.35,resonant_1.5L,dip|LRT,3-rung,0.1318181818181818,0.05454545454545454
0.35,resonant_1.5L,-,alpha,0.8156064298864752,0.05454545454545454
0.35,gated,dip,naive,0.0,0.0
0.35,gated,dip,2-rung,0.0,0.0
0.35,gated,dip,3-rung,0.0,0.0
0.35,gated,LRT,naive,0.1318181818181818,0.0
0.35,gated,LRT,2-rung,0.12727272727272726,0.0
0.35,gated,LRT,3-rung,0.1318181818181818,0.0
0.35,gated,dip|LRT,naive,0.1318181818181818,0.0
0.35,gated,dip|LRT,2-rung,0.12727272727272726,0.0
0.35,gated,dip|LRT,3-rung,0.1318181818181818,0.0
0.35,gated,-,alpha,-0.13472531344196303,0.0
0.35,gated+resonant,dip,naive,0.0,0.0
0.35,gated+resonant,dip,2-rung,0.0,0.0
0.35,gated+resonant,dip,3-rung,0.0,0.0
0.35,gated+resonant,LRT,naive,0.8772727272727273,0.0
0.35,gated+resonant,LRT,2-rung,0.42727272727272725,0.3409090909090909
0.35,gated+resonant,LRT,3-rung,0.30454545454545456,0.0
0.35,gated+resonant,dip|LRT,naive,0.8772727272727273,0.0
0.35,gated+resonant,dip|LRT,2-rung,0.42727272727272725,0.3409090909090909
0.35,gated+resonant,dip|LRT,3-rung,0.30454545454545456,0.0
0.35,gated+resonant,-,alpha,0.5738906892381568,0.0
