theta_deg,dt_ratio,rep,N,axis_true,thr_perm,null_max_med,obs_max_med,fire_perm,fire_boot,ucb_med,correct_axis,t_hat_med,t_err_med,ci_coverage,ci_width_med,n_pool,fire_equiv_5,fire_equiv_10,fire_equiv_15
10.0,1.0,3,50,14,0.9808820074989127,0.7588788400196871,0.8663167659346931,0.075,0.35,67.95784195608238,0.87,,,,,220,0.0,0.0,0.0
10.0,1.0,3,100,14,0.9700390284803222,0.7500507423128671,0.8873951149229968,0.095,0.5,61.80716132369284,0.98,,,,,220,0.0,0.0,0.0
10.0,1.0,3,200,14,0.9731759398833676,0.7713568167837259,0.8841793488620886,0.0,0.8833333333333333,51.73107574026092,1.0,,,,,220,0.0,0.0,0.0
10.0,1.0,4,25,17,0.9818262154494398,0.7285233955268873,0.7496519448245651,0.08,0.15,77.03729348277258,0.735,,,,,220,0.0,0.0,0.0
10.0,1.0,4,50,17,0.9800841925455008,0.6099257240771592,0.8289938978593024,0.075,0.25,78.2483700301326,0.845,,,,,220,0.0,0.0,0.0
10.0,1.0,4,100,17,0.9780776621745604,0.5988662580889035,0.8495657405423758,0.105,0.15,77.54945253446047,0.845,,,,,220,0.0,0.0,0.0
10.0,1.0,4,200,17,0.9808511563329876,0.5965247166242011,0.8847139014887666,0.005,0.0666666666666666,70.98363335873253,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,0,25,6,0.982287115250122,0.637398309974076,0.9582115917459462,0.21,0.4333333333333333,66.56339058506065,0.935,,,,,219,0.0,0.0,0.0
10.0,1.5,0,50,6,0.9810151371689572,0.6671914080920498,0.97051294075909,0.25,0.6166666666666667,40.34032987747754,0.985,,,,,219,0.0,0.0,0.0
10.0,1.5,0,100,6,0.9818386349485314,0.6227203403395607,0.9792661327504012,0.375,0.95,31.642633356150156,1.0,,,,,219,0.0,0.0,0.0
10.0,1.5,0,200,6,0.9783984047601378,0.5570761269183535,0.9827194347624711,0.91,1.0,19.48139424271607,1.0,,,,,219,0.0,0.0,0.0
10.0,1.5,1,25,16,0.975844126060382,0.7409684968155243,0.9461605316208735,0.245,0.5,68.01741672850227,0.96,,,,,220,0.0,0.0,0.0
10.0,1.5,1,50,16,0.980802102918022,0.6732908964465382,0.9687205345630604,0.26,0.7666666666666667,53.19553913034455,0.965,,,,,220,0.0,0.0,0.0
10.0,1.5,1,100,16,0.9811768624260276,0.7886843101434107,0.9775587175523106,0.355,0.9166666666666666,33.20612573422062,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,1,200,16,0.9761184184270432,0.7005568533468682,0.9831166854584364,0.95,1.0,21.28424012245357,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,2,25,16,0.9827808390550488,0.8211562598568366,0.9393607687853024,0.14,0.6,52.76493207939729,0.95,,,,,220,0.0,0.0,0.0
10.0,1.5,2,50,16,0.9855541821231172,0.8345950293593314,0.9681007427689962,0.1,0.6666666666666666,45.65890732914321,0.99,,,,,220,0.0,0.0,0.0333333333333333
10.0,1.5,2,100,16,0.9843301161889956,0.906911433547494,0.9804270011741886,0.31,0.9333333333333332,33.46452960199022,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,2,200,16,0.9860058071883732,0.9534002648560068,0.9810900177341296,0.06,1.0,22.73909270930245,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,3,25,8,0.9759786460944468,0.5570575390563981,0.960447260855692,0.315,0.7333333333333333,44.23335600861316,0.99,,,,,220,0.0,0.0,0.0
10.0,1.5,3,50,8,0.96831988412104,0.5087811636807995,0.9750298063991556,0.62,0.8833333333333333,30.337086079783436,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,3,100,8,0.8640423397899276,0.5059798012275554,0.9807206543328156,1.0,1.0,23.624091120699667,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,3,200,8,0.7086065512483984,0.5003998364075448,0.9843366315182256,1.0,1.0,17.86015700412147,1.0,,,,,220,0.0,0.0,0.0
10.0,1.5,4,25,16,0.9834709795982712,0.7985634275962465,0.970000966435628,0.16,0.7166666666666667,39.13679042770123,0.945,,,,,219,0.0,0.0,0.0
10.0,1.5,4,50,16,0.9834280829549732,0.8220176160101115,0.977997280513912,0.27,0.7666666666666667,31.41206225282225,0.98,,,,,219,0.0,0.0,0.0
10.0,1.5,4,100,16,0.982168235025045,0.865663050845574,0.982656712680576,0.545,0.9166666666666666,23.929164069283,1.0,,,,,219,0.0,0.0,0.0666666666666666
10.0,1.5,4,200,16,0.9841470494683004,0.8950324532914765,0.9846686938804315,0.765,1.0,15.188175074504075,1.0,,,,,219,0.0,0.0,0.3666666666666666
10.0,2.5,0,25,10,0.986065196672989,0.7235086617620525,0.984267422664356,0.19,1.0,13.18620876829688,1.0,,,,,220,0.0,0.0166666666666666,0.8333333333333334
10.0,2.5,0,50,10,0.9839443019393848,0.6878179996590914,0.9845688087228972,0.635,1.0,11.863632775070734,1.0,,,,,220,0.0,0.0333333333333333,0.9833333333333332
10.0,2.5,0,100,10,0.9839687418881512,0.7302314388493116,0.9845911753496908,0.665,1.0,11.131165517162048,1.0,,,,,220,0.0,0.0,1.0
10.0,2.5,0,200,10,0.98473335770469,0.6579123955980202,0.9844535538286222,0.225,1.0,10.884770595766655,1.0,,,,,220,0.0,0.0,1.0
10.0,2.5,1,25,12,0.9777531137405816,0.6956303870852446,0.984511425808289,0.98,1.0,11.840654259790917,1.0,,,,,220,0.0,0.0,0.95
10.0,2.5,1,50,12,0.9803726990719596,0.7948450779382674,0.9847149351715404,0.995,1.0,10.961778465559398,1.0,,,,,220,0.0,0.0,1.0
10.0,2.5,1,100,12,0.9796989090947013,0.808287133049245,0.9848285038113233,1.0,1.0,10.62386525098185,1.0,,,,,220,0.0,0.0,1.0
10.0,2.5,1,200,12,0.98278634301445,0.8032971295642917,0.9848636449369864,1.0,1.0,10.289600600922313,1.0,,,,,220,0.0,0.0,1.0
10.0,2.5,2,25,0,0.986313119396234,0.6634255302094949,0.9829973117830068,0.29,1.0,12.823667132706,1.0,,,,,220,0.0,0.05,0.7
10.0,2.5,2,50,0,0.9878804602016164,0.5816182873806695,0.9836237809362424,0.085,1.0,12.653829684137229,1.0,,,,,220,0.0,0.0166666666666666,0.9
10.0,2.5,2,100,0,0.9790350058342724,0.5584150756244146,0.983211179566815,0.965,1.0,12.293675090976915,1.0,,,,,220,0.0,0.0,1.0
10.0,2.5,2,200,0,0.9593106670049172,0.537502719928217,0.9831902998593568,1.0,1.0,11.606683416217187,1.0,,,,,220,0.0,0.0,1.0
10.0,2.5,3,25,8,0.982912719226396,0.6945975440629814,0.9846681684311228,0.785,1.0,12.179129634745228,1.0,,,,,220,0.0,0.0,0.9333333333333332
