kappa,surface,anchor,sigma_top,n_estimable,n_fire,alpha,fire_top,fire_mid,fire_deep,pi_top,pi_deep,gap_top,gap_deep,dos_top,dos_deep
1.3,resonant_1.5L,157,0.3332034070415962,3,3,0.3985795116991279,True,True,True,0.4665235470187595,0.1065574131000674,0.0585404784543733,0.0336889511591754,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,158,0.3332034070415962,2,2,-0.0550730191859372,True,True,False,0.4671548572288413,0.3811700609433317,0.0628019809478856,0.0065777411979761,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,159,0.3332034070415962,2,2,-0.1283927196941272,True,True,False,0.480860979890144,0.2869848809751286,0.0627774614793181,0.0209077774385302,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,160,0.3332034070415962,2,2,-0.0605031181686806,True,True,False,0.4366544499351649,0.1483400284088273,0.0653461548498782,0.0263853369055873,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,161,0.3332034070415962,3,3,0.4182779241620817,True,True,True,0.4730734186210648,0.1243780573526624,0.0592992334335986,0.0332063144246842,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,162,0.3332034070415962,3,3,0.3995638496010207,True,True,True,0.4654225946068637,0.1470979523023833,0.0616311957925308,0.0354192357717668,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,163,0.3332034070415962,3,3,0.4361898329788113,True,True,True,0.4770780184163283,0.1287045507723123,0.0642784875986415,0.035111808781814,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,164,0.3332034070415962,2,2,0.0944371682288123,True,True,False,0.4640910649028375,0.3130768466323123,0.064131432957802,0.0166822997115973,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,165,0.3332034070415962,3,3,0.5827543222962367,True,True,True,0.4723653452352286,0.209144874764242,0.0624773075817091,0.0278528245462347,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,166,0.3332034070415962,2,2,-0.0954643060108532,True,True,False,0.4562452626619084,0.2129555865120348,0.0662105380521524,0.0255229611415769,0.7692307692307692,3.0769230769230766
