sigma,dip_p,delta_hat,pi_cross,d_hat,pi_true,w_min,model,tau_obs,anchor,d_true,side
0.0632455532033676,0.0,0.2853313409588192,0.306,0.03207945127499894,0.256,0.30600000000000105,gated,0.005,0.4633333333333333,0.03666666666666667,-1
0.2,0.0,0.25231593256716334,0.427,0.03680343023239593,0.433,0.42700000000000105,gated,0.005,0.4633333333333333,0.03666666666666667,-1
0.02,0.3779496655111504,0.29443608415732947,0.024,0.03954736856363894,0.027000000000000024,0.024000000000001,gated,0.005,0.5366666666666666,0.03666666666666667,1
0.0632455532033676,0.0,0.2833461879286054,0.296,0.0338958234691481,0.273,0.29600000000000104,gated,0.005,0.5366666666666666,0.03666666666666667,1
0.2,0.0,0.24994346973375287,0.4300000000688759,0.03527483292110175,0.43300000000000005,0.43000000006887695,gated,0.005,0.5366666666666666,0.03666666666666667,1
0.02,0.12681291629803026,0.29130966609261355,0.025,0.039199279690801093,0.033,0.025000000000000997,gated,0.005,0.4608974358974359,0.0391025641025641,-1
0.0632455532033676,0.0,0.28372118792522244,0.258,0.0410794791378149,0.279,0.258000000000001,gated,0.005,0.4608974358974359,0.0391025641025641,-1
0.2,0.0,0.25355153765811167,0.402,0.049634743691862514,0.428,0.402000000000001,gated,0.005,0.4608974358974359,0.0391025641025641,-1
0.02,0.7968092910901838,0.29397585125896425,0.028,0.03822071295098236,0.02100000000000002,0.028000000000001,gated,0.005,0.5391025641025641,0.0391025641025641,1
0.0632455532033676,0.0,0.2846109685800414,0.284,0.03611317755586232,0.275,0.28400000000000103,gated,0.005,0.5391025641025641,0.0391025641025641,1
0.2,0.0,0.253179830520246,0.439,0.03070101207561142,0.42600000000000005,0.439000000000001,gated,0.005,0.5391025641025641,0.0391025641025641,1
0.0632455532033676,0.0,0.28346907478067807,0.26,0.04068873606491982,0.26,0.260000000000001,gated,0.005,0.4584615384615385,0.04153846153846154,-1
0.2,0.0,0.25360031286562756,0.427,0.03680343023239593,0.402,0.42700000000000105,gated,0.005,0.4584615384615385,0.04153846153846154,-1
0.02,0.7309257511083229,0.29457022516786247,0.029,0.03791395847983677,0.02200000000000002,0.029000000000000997,gated,0.005,0.5415384615384615,0.04153846153846154,1
0.0632455532033676,0.0,0.28408498414873945,0.284,0.03611317755586232,0.28,0.28400000000000103,gated,0.005,0.5415384615384615,0.04153846153846154,1
0.2,0.0,0.25233080521576473,0.41799999999999193,0.04140252467704157,0.42600000000000005,0.41799999999999293,gated,0.005,0.5415384615384615,0.04153846153846154,1
0.0632455532033676,0.0,0.28376207112545276,0.231,0.046520744629739125,0.242,0.23100000000000098,gated,0.005,0.456025641025641,0.043974358974358974,-1
0.2,0.0,0.2509918970654039,0.393,0.05430169040356773,0.378,0.393000000000001,gated,0.005,0.456025641025641,0.043974358974358974,-1
0.0632455532033676,0.0,0.2836768411705225,0.231,0.046520744629739125,0.236,0.23100000000000098,gated,0.005,0.543974358974359,0.043974358974358974,1
0.2,0.0,0.25290322704212265,0.422,0.039355924043693355,0.41100000000000003,0.42200000000000104,gated,0.005,0.543974358974359,0.043974358974358974,1
0.0632455532033676,0.0,0.2841749675624323,0.204,0.05233052942355007,0.218,0.20400000000000099,gated,0.005,0.4535897435897436,0.04641025641025641,-1
0.2,0.0,0.25220669796454886,0.401,0.05015191437658321,0.426,0.401000000000001,gated,0.005,0.4535897435897436,0.04641025641025641,-1
0.0632455532033676,0.0,0.28356002523727813,0.229,0.046937317601383116,0.22099999999999997,0.229000000000001,gated,0.005,0.5464102564102564,0.04641025641025641,1
0.2,0.0,0.2518644441530737,0.435,0.03273169724662826,0.392,0.435000000000001,gated,0.005,0.5464102564102564,0.04641025641025641,1
0.0632455532033676,0.0,0.28380842176790927,0.217,0.04948111765832285,0.211,0.217000000000001,gated,0.005,0.4511538461538461,0.048846153846153845,-1
0.2,0.0,0.2512055794916344,0.419,0.040890476307364185,0.42,0.41900000000000104,gated,0.005,0.4511538461538461,0.048846153846153845,-1
0.0632455532033676,0.0,0.28326062501588745,0.212,0.05056487943504408,0.21199999999999997,0.212000000000001,gated,0.005,0.5488461538461539,0.048846153846153845,1
0.2,0.0,0.2500873334065005,0.39499999999414626,0.05326212264385957,0.42600000000000005,0.3949999999941473,gated,0.005,0.5488461538461539,0.048846153846153845,1
0.0632455532033676,0.0,0.2835958857534705,0.236,0.04548801893642874,0.199,0.236000000000001,gated,0.005,0.44871794871794873,0.05128205128205128,-1
0.2,0.0,0.25233300662162805,0.378,0.0621475490975184,0.396,0.378000000000001,gated,0.005,0.44871794871794873,0.05128205128205128,-1
0.0632455532033676,0.0,0.28408962676885724,0.221,0.04862446477373056,0.20399999999999996,0.221000000000001,gated,0.005,0.5512820512820513,0.05128205128205128,1
0.2,0.0,0.2503464846075262,0.40399934067102966,0.04860173392564882,0.37,0.4039993406759272,gated,0.005,0.5512820512820513,0.05128205128205128,1
0.0632455532033676,0.0,0.2828022580506241,0.208,0.05144269261732665,0.199,0.208000000000001,gated,0.005,0.4462820512820513,0.053717948717948716,-1
0.2,0.0,0.2505104063651206,0.3919999999999982,0.05482202320703038,0.38,0.3919999999999992,gated,0.005,0.4462820512820513,0.053717948717948716,-1
0.0632455532033676,0.0,0.28272569890934207,0.185,0.05669795383838512,0.19399999999999995,0.185000000000001,gated,0.005,0.5537179487179487,0.053717948717948716,1
0.2,0.0,0.25222720827269113,0.406,0.04756933908354987,0.42800000000000005,0.406000000000001,gated,0.005,0.5537179487179487,0.053717948717948716,1
0.0632455532033676,0.0,0.2838938637573548,0.159,0.06315550865084307,0.202,0.159000000000001,gated,0.005,0.44384615384615383,0.05615384615384615,-1
0.2,0.0,0.2522325469524308,0.401,0.05015191437658321,0.4,0.401000000000001,gated,0.005,0.44384615384615383,0.05615384615384615,-1
0.0632455532033676,0.0,0.2825789292744224,0.196,0.054137939642346485,0.17400000000000004,0.196000000000001,gated,0.005,0.5561538461538461,0.05615384615384615,1
0.2,0.0,0.2517115738250134,0.389,0.05638526591741229,0.4,0.389000000000001,gated,0.005,0.5561538461538461,0.05615384615384615,1
0.0632455532033676,0.0,0.28255039421267636,0.167,0.06110078879543631,0.156,0.16700000000000098,gated,0.005,0.44141025641025644,0.05858974358974359,-1
0.2,0.0,0.25047479188977506,0.41100000000000003,0.044994671662762276,0.38,0.4110000000000011,gated,0.005,0.44141025641025644,0.05858974358974359,-1
0.0632455532033676,0.0,0.28387686132647094,0.192,0.05505840560182186,0.19199999999999995,0.192000000000001,gated,0.005,0.5585897435897436,0.05858974358974359,1
0.2,0.0,0.25079658088276846,0.37599999999999995,0.0632006608824966,0.365,0.3760000000000009,gated,0.005,0.5585897435897436,0.05858974358974359,1
0.0632455532033676,0.0,0.28220446578804126,0.163,0.062119952824204024,0.171,0.163000000000001,gated,0.005,0.438974358974359,0.06102564102564102,-1
