n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,idx,x1,x2,gated_side,dist
2,0.9994,False,0.1406004280723976,0.8392335208387782,0.2597344844689829,0,0.2585970203558745,0.019,False,False,gated,39,0.4164903242082708,0.0978843533409417,False,0.3242535062682344
2,0.9934,False,0.1414122353093013,0.8368714757606076,0.3901332669415628,0,0.0230683692545631,0.018,False,False,gated,40,0.3399129476287104,0.0807033502953252,False,0.3407644423616821
2,0.9898,False,0.1377840958982503,0.8510580870357036,0.7398969734494272,0,0.0205218268182904,0.024,False,False,gated,41,0.6265823281947184,0.9288345193132522,True,0.3488375444998494
2,0.0002,True,0.2682618897684662,,0.123000129297828,1,0.2682618897684662,0.137,True,False,gated,42,0.7798762370478756,0.2622769600448237,False,0.175824383149374
2,0.0002,True,0.2797227471240507,0.0301332481388827,0.8505000000064646,0,0.2712937921748417,0.258,True,False,gated,43,0.7339354483804249,0.6341327259237531,True,0.0902097514096584
2,0.2852,False,0.128706069909682,0.9468366696932174,0.3543915584784261,0,0.2505696965132146,0.02,False,False,gated,44,0.0752567584313712,0.0897583737069309,False,0.417087247027741
3,0.0002,True,0.2805499989190884,0.0289022347847508,0.6120000000316856,0,0.2886585208567384,0.47,True,False,gated,45,0.8392955872870733,0.4856840068261164,True,0.0499414988214544
3,0.0002,True,0.2968925427813038,0.0512913364063204,0.345,1,0.2996308257795972,0.497,True,False,gated,46,0.0243939985907577,0.4947768067132633,False,0.020962380517495
2,0.0002,True,0.2694132761766206,,0.1889999999740634,1,0.2694132761766206,0.197,True,False,gated,47,0.4538175995132785,0.3052237559193059,False,0.129887654321091
3,0.0002,True,0.2937285310041088,0.0417781397069925,0.602,0,0.2937285310041088,0.435,True,False,gated,48,0.3844837207605684,0.4593751098640486,True,0.0382959760573673
2,0.554,False,0.1372974964269488,0.8921205570357685,0.7219662987315142,0,0.0148115774340306,0.036,False,False,gated,49,0.0627352584529064,0.8756065417585848,True,0.3007340823873907
