manifold,method,model,x1,x2,gated_side,pi_true_max,n_tests,flag,p_min,abstain
clumpy,raw,gated,0.2900208707560702,0.1406284278868842,False,0.067,3,True,0.0002,False
clumpy,raw,gated,0.1638067643339865,0.7701581094094448,False,0.008,3,True,0.0038,False
clumpy,raw,gated,0.7887609093100655,0.8600471978986328,True,0.273,3,True,0.0004,False
clumpy,raw,gated,0.7700842292424579,0.233356059121471,True,0.182,3,True,0.0002,False
clumpy,raw,gated,0.4303560764956702,0.3908559278436802,False,0.168,3,True,0.0002,False
clumpy,raw,gated,0.2372337952714718,0.7026559672042726,False,0.026,3,True,0.0004,False
clumpy,raw,gated,0.1860732029666068,0.7131147628921821,False,0.015,3,False,0.0556,False
clumpy,raw,gated,0.8061195454457049,0.1543856798060405,True,0.0819999999999999,3,False,0.221,False
clumpy,raw,gated,0.1453842327211629,0.1399003066417648,False,0.004,3,False,0.0968,False
clumpy,raw,gated,0.1784352046936788,0.7087637016335577,False,0.02,3,False,0.081,False
clumpy,raw,gated,0.7182100806789405,0.8068004781033314,True,0.3339999999999999,3,True,0.0024,False
clumpy,raw,gated,0.5276097259841933,0.8383104728512712,False,0.262,3,True,0.0002,False
clumpy,raw,gated,0.8725705855953514,0.7858112513481605,True,0.152,3,False,0.8892,False
clumpy,raw,gated,0.8382140093052556,0.7268710385188987,True,0.185,3,False,0.331,False
clumpy,raw,gated,0.4364703690936587,0.3936800360302137,False,0.159,3,True,0.0002,False
clumpy,raw,gated,0.1874084689683825,0.7839435190959487,False,0.013,3,True,0.0016,False
clumpy,raw,gated,0.7543310274065014,0.2138902095805866,True,0.1939999999999999,3,True,0.0002,False
clumpy,raw,gated,0.4469326126188776,0.956297463600942,False,0.14,3,True,0.0002,False
clumpy,raw,gated,0.739202407494528,0.7616649388584069,True,0.3379999999999999,3,True,0.0002,False
clumpy,raw,gated,0.4839038324058024,0.3374541838516385,False,0.245,3,True,0.0002,False
clumpy,raw,gated,0.8018340691845132,0.8098940519843276,True,0.2239999999999999,3,True,0.0038,False
clumpy,raw,gated,0.5266632709859862,0.4743645031708845,False,0.279,3,True,0.0002,False
clumpy,raw,gated,0.8820063010644138,0.7438054964863242,True,0.121,3,False,0.669,False
clumpy,raw,gated,0.8062449086581066,0.7755040710073049,True,0.2249999999999999,3,False,0.176,False
clumpy,raw,gated,0.7452162773890622,0.6886162092046365,True,0.353,3,True,0.002,False
clumpy,raw,gated,0.5491616656013443,0.7645383457849986,False,0.295,3,True,0.0002,False
clumpy,raw,gated,0.4698367310125474,0.8783937066554598,False,0.168,3,True,0.0002,False
clumpy,raw,gated,0.4226447109339464,0.8780559363554897,False,0.129,3,True,0.0002,False
clumpy,raw,gated,0.8529529297336741,0.2026700437573366,True,0.0749999999999999,3,False,0.246,False
clumpy,raw,gated,0.7440938920028941,0.2636420570992048,True,0.24,3,True,0.0002,False
clumpy,raw,gated,0.748413764552439,0.8274616469466713,True,0.287,3,True,0.0004,False
clumpy,raw,gated,0.2157467754449334,0.8111348176533488,False,0.017,3,True,0.0004,False
clumpy,raw,gated,0.2130018402890821,0.2209575349915123,False,0.031,3,True,0.0002,False
clumpy,raw,gated,0.3901170926128767,0.8164533363934868,False,0.074,3,True,0.0002,False
clumpy,raw,gated,0.4111319461606905,0.800147996649945,False,0.128,3,True,0.0002,False
clumpy,raw,gated,0.2231235355907654,0.2250057185408338,False,0.026,3,True,0.0002,False
clumpy,raw,gated,0.238820041767635,0.7059824176295738,False,0.023,3,True,0.004,False
clumpy,raw,gated,0.7621435268881667,0.1647076334325335,True,0.124,3,True,0.0004,False
clumpy,raw,gated,0.1905564335870073,0.7724076532228512,False,0.017,3,True,0.0008,False
clumpy,raw,gated,0.4736211092732367,0.5191004504363916,False,0.177,3,True,0.0002,False
clumpy,raw,gated,0.8854594524945577,0.3074712327826147,True,0.12,3,True,0.0002,False
clumpy,raw,gated,0.4497215921626705,0.4711179020990339,False,0.178,3,True,0.0002,False
clumpy,raw,gated,0.8194891580772673,0.2447380677101788,True,0.149,3,True,0.0002,False
clumpy,raw,gated,0.4212216163955229,0.8240619330943311,False,0.147,3,True,0.0002,False
clumpy,raw,gated,0.1395284414722346,0.7197101773061092,False,0.006,3,False,0.271,False
clumpy,raw,gated,0.4865647627402529,0.8412592663383147,False,0.183,3,True,0.0002,False
clumpy,raw,gated,0.1783670765693592,0.2076974634847675,False,0.013,3,True,0.0002,False
clumpy,raw,gated,0.1578197124033381,0.1187748376115888,False,0.015,3,False,0.0628,False
clumpy,raw,gated,0.4888768952547648,0.492375460353174,False,0.207,3,True,0.0002,False
clumpy,raw,gated,0.2289026735155879,0.1902593379456039,False,0.025,3,True,0.0002,False
clumpy,raw,gated,0.5434347053840691,0.8598424137551408,False,0.284,3,True,0.0002,False
clumpy,raw,honest,0.1267994651148849,0.2495262381788289,False,0.013,3,True,0.0002,False
clumpy,raw,honest,0.8041452696775802,0.2090226011185259,True,0.134,3,False,0.7996,False
clumpy,raw,honest,0.8180613495715553,0.2107310656315504,True,0.0989999999999999,3,False,1.0,False
clumpy,raw,honest,0.7876552623305384,0.2573072342534906,True,0.162,3,False,0.9796,False
clumpy,raw,honest,0.8177640467417956,0.2439565759954953,True,0.148,3,False,0.8146,False
clumpy,raw,honest,0.8721134428227293,0.1697241705431636,True,0.057,3,False,0.9722,False
